Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
48c8e365c6bb2d7557273ad4b5ec719f1c2b4d2bf0474b0cce6e9fa2067bae1d,2020-04,Gwent Police,Gwent Police,-3.134847,51.729480,On or near CARMEL STREET,W01001436,Blaenau Gwent 008B,Investigation complete; no suspect identified
1e38b5cc5cc4098972e7c34760189280ff5e2ceba0467c90764529a6d255fcef,2020-04,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
db47f8591f5623bb722924450e8689aead72e8a7dcb6956d8baf7ca4d9cfc95d,2020-04,Gwent Police,Gwent Police,-2.996604,51.602704,On or near BRYNGLAS AVENUE,W01001683,Newport 006D,Investigation complete; no suspect identified
7fe7ec97c8da941efb1fd8547a345d3012eefd0fcba375e8a2bbd4f6c2b165e8,2020-04,Gwent Police,Gwent Police,0.119389,51.502815,On or near BYRON CLOSE,E01001693,Greenwich 001C,Investigation complete; no suspect identified
0571484a50cafd425aa96eee4b4d7c996185fb4291689fae276052f2f95e468f,2020-04,Gwent Police,Gwent Police,-2.978397,51.587257,On or near GORDON STREET,W01001690,Newport 013D,Investigation complete; no suspect identified
db62d32f5a16dfa7aa283597c202874238c23be5d7f1804c30af63513d1cb871,2020-04,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Investigation complete; no suspect identified
f436b29dc8531604ca846a8df290aeeeb84e3e4f5eb056c3912181b6d0ea55f1,2020-04,Gwent Police,Gwent Police,-3.242557,51.671212,On or near BERLLANLWYD STREET,W01001416,Caerphilly 008C,Investigation complete; no suspect identified
4bf9819fca1a7cb92ec7ea2359c7f41302fb3b386244074e001b9923f106a2bb,2020-04,Gwent Police,Gwent Police,-3.209624,51.779500,On or near GARDEN STREET,W01001461,Blaenau Gwent 007F,Investigation complete; no suspect identified
755658e204c920ebc0d5edbd92d08319a3b38da026b6e1379834a55314bbc5c3,2020-04,Gwent Police,Gwent Police,-3.225186,51.585839,On or near Supermarket,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
6b5ba265383818537fac96a1ed3fd45de55ccafda4f4235bd36c0b1ae1f48627,2020-04,Gwent Police,Gwent Police,-3.010492,51.529069,On or near Parking Area,W01001912,Newport 020E,Investigation complete; no suspect identified
58a70ab245d738e9a0f005c800f7e76dbcc354e3d19ed1b90da8796277c01e22,2020-04,Gwent Police,Gwent Police,-2.958469,51.589588,On or near LAWRENCE HILL AVENUE,W01001608,Newport 008B,Investigation complete; no suspect identified
b2997c56b8e5e57fe1b010673adc6a93f14fbfc4c254af27f15c42a3f7fc6913,2020-04,Gwent Police,Gwent Police,-3.223297,51.657873,On or near TWYN,W01001389,Caerphilly 007E,Investigation complete; no suspect identified
1e5a5680c31218312b950f49a78bc18f005ff171c640d9f48fba56d366b7e774,2020-04,Gwent Police,Gwent Police,-3.021286,51.656342,On or near LLANDAFF GREEN,W01001519,Torfaen 007A,Investigation complete; no suspect identified
d8fede1d2fc997028a813976ca0a9fa5104511d8c0b77c9c0f740e51e835da1c,2020-04,Gwent Police,Gwent Police,-3.202043,51.658893,On or near BURNET DRIVE,W01001402,Caerphilly 011B,Investigation complete; no suspect identified
7e54445acd8f574454638a15663555b61fc97b8561afbc2f7a922dbd1c5bf841,2020-04,Gwent Police,Gwent Police,-3.053198,51.642285,On or near TOLPATH,W01001499,Torfaen 011C,Investigation complete; no suspect identified
19ae5039252888a8d86a7a67a48a2601e838f513c5fe0ab60ef851bf1f89793f,2020-04,Gwent Police,Gwent Police,-3.029330,51.826084,On or near ORCHARD CLOSE,W01001545,Monmouthshire 001A,Investigation complete; no suspect identified
1889d8ca0a728766bc80949412bc90f47ddf3a329e0d02e51492ad53f780001a,2020-04,Gwent Police,Gwent Police,-3.030330,51.784059,On or near Park/Open Space,W01001564,Monmouthshire 003D,Investigation complete; no suspect identified
a0069d44e0b97b90b8a08fc397fad7c6e197595bd3f52be8f9f5d7c868817b6b,2020-04,Gwent Police,Gwent Police,-3.146327,51.739700,On or near LAWRENCE AVENUE,W01001453,Blaenau Gwent 008D,Investigation complete; no suspect identified
250398f5e0175ffe858e463413bff265a68f51b87a62ad691c9128881f312209,2020-04,Gwent Police,Gwent Police,-3.208172,51.779416,On or near WEST END TERRACE,W01001461,Blaenau Gwent 007F,Investigation complete; no suspect identified
32758b06706fdec339204d1e87960a32e1ac56ad6df2a2875f9c61dfe0622e98,2020-04,Gwent Police,Gwent Police,-2.996604,51.602704,On or near BRYNGLAS AVENUE,W01001683,Newport 006D,Investigation complete; no suspect identified
23c02e4169078b1e5eb3f18931767d65ee87d79d732ad0386376c4bdbd978b3a,2020-04,Gwent Police,Gwent Police,-3.274850,51.606863,On or near CAERPHILLY ROAD,W01001333,Caerphilly 018D,Investigation complete; no suspect identified
7546dea163300ea08a66b6b82b1861ca9e8bb357385eb9c4f8e93baab9581c9f,2020-04,Gwent Police,Gwent Police,-3.211485,51.780236,On or near TREDEGAR GAP,W01001461,Blaenau Gwent 007F,Investigation complete; no suspect identified
3cb1f863f6c15cbf93f2c1180fe5827d66156650b2b345d925ba5b6076645184,2020-04,Gwent Police,Gwent Police,-2.794140,51.587794,On or near CALDICOT ROAD,W01001582,Monmouthshire 011D,Investigation complete; no suspect identified
8f0f422b6d1737fbbd5ee7ea1518a16ab7c90334eb3b82c1f16f6e2560da9281,2020-04,Gwent Police,Gwent Police,-2.666516,51.620562,On or near JOHN RASTRICK RISE,W01001592,Monmouthshire 008D,Investigation complete; no suspect identified
21e88b5cf3553d8306f66fb3d064e14f501e6562f1f1a8af27fae6cf5c9b3e15,2020-04,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Investigation complete; no suspect identified
6d098bf2eac397d39e95041769ebbe79d4f3810fb3129417c4c44ce2870a9ff9,2020-04,Gwent Police,Gwent Police,-2.995084,51.574789,On or near LIME CLOSE,W01001660,Newport 018B,Investigation complete; no suspect identified
4681a57e709693141f0a18014e30939541a103b4c9d01c6a3d93546b235bc0f5,2020-04,Gwent Police,Gwent Police,-3.229880,51.687944,On or near HANBURY SQUARE,W01001337,Caerphilly 004B,Investigation complete; no suspect identified
