Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8d20ad6ec7f422b794f4b9dc586f2471621cc1759dde7a82604d20dafadd693f,2021-06,Humberside Police,Humberside Police,-0.083533,53.553914,On or near WEELSBY ROAD,E01013183,North East Lincolnshire 016C,Investigation complete; no suspect identified
90f85615f6dd5ec816484e9a9727f65cc9530215b7cd4ee633d0217653cb90d2,2021-06,Humberside Police,Humberside Police,-0.032485,53.560556,On or near Parking Area,E01013199,North East Lincolnshire 010C,Investigation complete; no suspect identified
955a2229c14ad3d0ab6f0c12c3e1aa2dec54202fddee0aed2859a58b8ff5c55b,2021-06,Humberside Police,Humberside Police,-0.422338,53.726656,On or near Sports/Recreation Area,E01013006,East Riding of Yorkshire 043A,Investigation complete; no suspect identified
53a002e3a8996cd6f16b8b19269c735d6ab35e6ca74d63ed7184a381687ae2a7,2021-06,Humberside Police,Humberside Police,-0.139918,53.549815,On or near HILMORE ROAD,E01013226,North East Lincolnshire 007D,Investigation complete; no suspect identified
5c64e267c4a9b54ab3010271407ea297e9d58cbe46663f6fdccb78cb8086961e,2021-06,Humberside Police,Humberside Police,-0.206604,54.083196,On or near BESSINGBY ROAD,E01012949,East Riding of Yorkshire 003E,Investigation complete; no suspect identified
0462ca432c4ccb87847fb4656e16dcf9c9008c0ae54785ac36a5cd95563f0a02,2021-06,Humberside Police,Humberside Police,-0.330949,53.746983,On or near CHARLOTTE STREET,E01033109,Kingston upon Hull 029F,Investigation complete; no suspect identified
b1f16ce49ba4367705985b0cc2bee073e8a9843dc322e94705a54b6f0789aaa3,2021-06,Humberside Police,Humberside Police,-0.415508,53.850965,On or near WICKWANE ROAD,E01013069,East Riding of Yorkshire 017C,Investigation complete; no suspect identified
16ea4281ebf580410a72cd689cf200fea88977873c4cee9c823d1087ea6ec50a,2021-06,Humberside Police,Humberside Police,-0.472426,53.721858,On or near CLIVE SULLIVAN WAY,E01013093,East Riding of Yorkshire 035E,Investigation complete; no suspect identified
4d85ddd80be0b5a6a9a9c2dac262390c1b62bc18c6cc68c0cec86e2361c1beb6,2021-06,Humberside Police,Humberside Police,-0.368416,53.760084,On or near SANDERSON CLOSE,E01012758,Kingston upon Hull 018A,Investigation complete; no suspect identified
61082b3d6fc8bab9ea5112e9a719700630eb3f9f210f9dc1f131a8075a87b2e6,2021-06,Humberside Police,Humberside Police,-0.301088,53.761279,On or near TELFORD STREET,E01012816,Kingston upon Hull 020A,Investigation complete; no suspect identified
086c300547a3ff40cf12448235a5cbc2c81eae69f85349633efdeafd910f474c,2021-06,Humberside Police,Humberside Police,-0.387780,53.746430,On or near ROSLYN ROAD,E01012776,Kingston upon Hull 027B,Investigation complete; no suspect identified
c234e4b388d6c437088dc885bb31a97b1165a8450d0763860d166058df3ed249,2021-06,Humberside Police,Humberside Police,-0.263832,53.768943,On or near AMETHYST ROAD,E01012836,Kingston upon Hull 009C,Investigation complete; no suspect identified
