Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ce430a6840a11869b852bfbb2a08feca7eee4c2f58b71675bfc985a85b383bac,2021-04,Gwent Police,Gwent Police,-3.064870,51.722205,On or near CARADOC STREET,W01001486,Torfaen 002E,Investigation complete; no suspect identified
61d3935715099ed8a19e4f7c0efd63efba5295ceeafb91c4abedc0e284021383,2021-04,Gwent Police,Gwent Police,-2.987887,51.588256,On or near Sports/Recreation Area,W01001693,Newport 013E,Investigation complete; no suspect identified
30912ee43058d0bf4a464618c825ab6f59ab8e7c1749c4923b33549a6c19b8a6,2021-04,Gwent Police,Gwent Police,-3.037113,51.585269,On or near CHURCH CLOSE,W01001674,Newport 009E,Investigation complete; no suspect identified
b290e49450e101fcc31154f1af1f5d3f0593147ef71473d2be5bf5f0157691cb,2021-04,Gwent Police,Gwent Police,-2.983889,51.593631,On or near BISHOP STREET,W01001676,Newport 007B,Investigation complete; no suspect identified
dbc4fb6fbdde1dff78db84396532dec2d1544a66b7d44f6e47673037727b0326,2021-04,Gwent Police,Gwent Police,-3.043414,51.637256,On or near PENYLAN WAY,W01001535,Torfaen 012D,Investigation complete; no suspect identified
ce7e6fa4f8d13048f774a6485c3cc1689e64fb318f5ea208d879fd8b99d32da5,2021-04,Gwent Police,Gwent Police,-3.013062,51.583105,On or near OMBERSLEY ROAD,W01001605,Newport 014A,Investigation complete; no suspect identified
ef58cf6d8d66c3ac7e7822ff77f5237bc5033abe973eca21b86a248aebbd1934,2021-04,Gwent Police,Gwent Police,-2.970502,51.583231,On or near KEENE STREET,W01001644,Newport 013C,Investigation complete; no suspect identified
2dbdd6a7d1dd58a06685a2f8eb0199a86b3ba8f0049372fa25f458cd1d161e86,2021-04,Gwent Police,Gwent Police,-3.020026,51.579574,On or near HIGHFIELD ROAD,W01001631,Newport 017C,Investigation complete; no suspect identified
278c6a1cb422846287747c35e3ebf32739f844df0bd63520d947225d6a5bed73,2021-04,Gwent Police,Gwent Police,-3.082496,51.773987,On or near RHYDYNOS STREET,W01001490,Torfaen 001D,Investigation complete; no suspect identified
7608133d15b7039432b6664e16a9bfdf4bede1cced8212255084215b7f1d9049,2021-04,Gwent Police,Gwent Police,-3.205476,51.796806,On or near GARTH DAN-Y-BRYN,W01001442,Blaenau Gwent 001C,Investigation complete; no suspect identified
