Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b90df1f776066557313f8970647819f66e269747cb69ffe694fdbf87e35ba17f,2021-05,Gwent Police,Gwent Police,-2.989613,51.578656,On or near COMMERCIAL ROAD,W01001661,Newport 018C,Investigation complete; no suspect identified
49c5af9349b0ab87f8332259406a66d8e0edac6ca7304155d98353aa853f8d58,2021-05,Gwent Police,Gwent Police,-3.013746,51.835777,On or near CHARLES CLOSE,W01001909,Monmouthshire 002F,Investigation complete; no suspect identified
035a68e8c93db4f9125f9a31d648d1174dee211a38538cef3813c1932f0415d7,2021-05,Gwent Police,Gwent Police,-2.980755,51.738151,On or near MIDFIELD,W01001556,Monmouthshire 006B,Investigation complete; no suspect identified
97175540ad92ae56bdd1bc1e3eb4465518c63aeb34a9e03d0750aa2d6426b597,2021-05,Gwent Police,Gwent Police,-2.979896,51.582461,On or near EXCELSIOR CLOSE,W01001690,Newport 013D,Investigation complete; no suspect identified
0e55cfe7ec126c7be498541d0c02489ee0932805e598698a03f58e384e073958,2021-05,Gwent Police,Gwent Police,-3.286703,51.652178,On or near PRIMROSE CLOSE,W01001378,Caerphilly 013B,Investigation complete; no suspect identified
63d9dfcca2351a351f2f5f9894c80a09faf626cafae9ddc66718b882196a5ce2,2021-05,Gwent Police,Gwent Police,-3.244986,51.783959,On or near DUKESTOWN ROAD,W01001475,Blaenau Gwent 003D,Investigation complete; no suspect identified
c6b458b202cd8ff14d124b81eb55979539326868cbf030ec1f87033f6c7cc2dc,2021-05,Gwent Police,Gwent Police,-2.680149,51.629044,On or near ASH CLOSE,W01001584,Monmouthshire 008B,Investigation complete; no suspect identified
8d1e6138d9eba983fb22e3e9d23f348e8d366854bfb66053025640064555016c,2021-05,Gwent Police,Gwent Police,-3.057450,51.586517,On or near Parking Area,W01001672,Newport 009C,Investigation complete; no suspect identified
a18899152617772e0a8967c01a9d818cd1fa3ce332224bfc819c220f316ff40b,2021-05,Gwent Police,Gwent Police,-3.004756,51.601753,On or near MALPAS ROAD,W01001682,Newport 006C,Investigation complete; no suspect identified
a23fe8e23140e102f66b9bf1610ea2e6a166c09c55fe9440c41f5fc7c6add7d7,2021-05,Gwent Police,Gwent Police,-2.735946,51.789634,On or near PARC PENTRE,W01001575,Monmouthshire 005D,Investigation complete; no suspect identified
6ac4994fa57a8b495ed836e75866faf497942e057a8abe4c461b270e658552f0,2021-05,Gwent Police,Gwent Police,-3.013540,51.571502,On or near CARDIFF ROAD,W01001629,Newport 017A,Investigation complete; no suspect identified
c918229ab384ac77ec75c6ca9aa48744e1a367628dde62452e31eb5c76416b6f,2021-05,Gwent Police,Gwent Police,-3.134286,51.740015,On or near PEN-Y-BONT ROAD,W01001454,Blaenau Gwent 008E,Investigation complete; no suspect identified
